parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.5 -1.66753e-09 1.38118e-09
-0.498 -1.60174e-09 1.32669e-09
-0.496 -1.53854e-09 1.27434e-09
-0.494 -1.47783e-09 1.22406e-09
-0.492 -1.41952e-09 1.17577e-09
-0.49 -1.36351e-09 1.12938e-09
-0.488 -1.30971e-09 1.08483e-09
-0.486 -1.25803e-09 1.04203e-09
-0.484 -1.20839e-09 1.00092e-09
-0.482 -1.16071e-09 9.61429e-10
-0.48 -1.11491e-09 9.235e-10
-0.478 -1.07092e-09 8.87067e-10
-0.476 -1.02866e-09 8.52073e-10
-0.474 -9.88072e-10 8.1846e-10
-0.472 -9.49096e-10 7.8616e-10
-0.47 -9.11632e-10 7.55161e-10
-0.468 -8.75658e-10 7.25373e-10
-0.466 -8.41103e-10 6.96761e-10
-0.464 -8.07911e-10 6.69278e-10
-0.462 -7.76028e-10 6.4288e-10
-0.46 -7.45402e-10 6.17524e-10
-0.458 -7.15984e-10 5.9317e-10
-0.456 -6.87726e-10 5.69777e-10
-0.454 -6.60582e-10 5.47308e-10
-0.452 -6.34508e-10 5.25726e-10
-0.45 -6.09461e-10 5.04997e-10
-0.448 -5.85402e-10 4.85086e-10
-0.446 -5.62291e-10 4.65962e-10
-0.444 -5.40075e-10 4.47594e-10
-0.442 -5.18765e-10 4.29952e-10
-0.44 -4.98279e-10 4.13007e-10
-0.438 -4.78599e-10 3.96732e-10
-0.436 -4.59695e-10 3.81101e-10
-0.434 -4.41534e-10 3.66088e-10
-0.432 -4.24088e-10 3.51669e-10
-0.43 -4.07328e-10 3.37821e-10
-0.428 -3.91226e-10 3.24522e-10
-0.426 -3.75758e-10 3.11749e-10
-0.424 -3.60897e-10 2.99483e-10
-0.422 -3.46619e-10 2.87703e-10
-0.42 -3.32901e-10 2.76392e-10
-0.418 -3.19721e-10 2.65529e-10
-0.416 -3.07057e-10 2.55099e-10
-0.414 -2.94888e-10 2.45083e-10
-0.412 -2.83195e-10 2.35467e-10
-0.41 -2.71959e-10 2.26234e-10
-0.408 -2.6116e-10 2.17371e-10
-0.406 -2.50782e-10 2.08861e-10
-0.404 -2.40807e-10 2.00693e-10
-0.402 -2.31219e-10 1.92854e-10
-0.4 -2.22001e-10 1.85329e-10
-0.398 -2.1314e-10 1.78109e-10
-0.396 -2.0462e-10 1.71181e-10
-0.394 -1.96426e-10 1.64534e-10
-0.392 -1.88546e-10 1.58158e-10
-0.39 -1.80967e-10 1.52043e-10
-0.388 -1.73674e-10 1.46179e-10
-0.386 -1.66654e-10 1.40558e-10
-0.384 -1.59901e-10 1.35177e-10
-0.382 -1.53399e-10 1.30013e-10
-0.38 -1.47138e-10 1.25067e-10
-0.378 -1.41105e-10 1.20332e-10
-0.376 -1.35293e-10 1.158e-10
-0.374 -1.29689e-10 1.11465e-10
-0.372 -1.24284e-10 1.0732e-10
-0.37 -1.19069e-10 1.03359e-10
-0.368 -1.14034e-10 9.95768e-11
-0.366 -1.09169e-10 9.59683e-11
-0.364 -1.04467e-10 9.25285e-11
-0.362 -9.99175e-11 8.92528e-11
-0.36 -9.55123e-11 8.6137e-11
-0.358 -9.12427e-11 8.31775e-11
-0.356 -8.71003e-11 8.03708e-11
-0.354 -8.30767e-11 7.77138e-11
-0.352 -7.91635e-11 7.52038e-11
-0.35 -7.53524e-11 7.28385e-11
-0.348 -7.1635e-11 7.0616e-11
-0.346 -6.8003e-11 6.85347e-11
-0.344 -6.4448e-11 6.65934e-11
-0.342 -6.09614e-11 6.47914e-11
-0.34 -5.75347e-11 6.31283e-11
-0.338 -5.41592e-11 6.16042e-11
-0.336 -5.08258e-11 6.02198e-11
-0.334 -4.75254e-11 5.8976e-11
-0.332 -4.42487e-11 5.78743e-11
-0.33 -4.09859e-11 5.69169e-11
-0.328 -3.77269e-11 5.61064e-11
-0.326 -3.44613e-11 5.54459e-11
-0.324 -3.10895e-11 5.49393e-11
-0.322 -2.77818e-11 5.45174e-11
-0.32 -2.44297e-11 5.42741e-11
-0.318 -2.1022e-11 5.4209e-11
-0.316 -1.75462e-11 5.4325e-11
-0.314 -1.39887e-11 5.46272e-11
-0.312 -1.03352e-11 5.51223e-11
-0.31 -6.57018e-12 5.58186e-11
-0.308 -2.67699e-12 5.67256e-11
-0.306 1.36197e-12 5.78542e-11
-0.304 5.56557e-12 5.92165e-11
-0.302 9.95395e-12 6.0826e-11
-0.3 1.45487e-11 6.26975e-11
-0.298 1.93729e-11 6.48474e-11
-0.296 2.4509e-11 6.71292e-11
-0.294 2.98456e-11 6.96954e-11
-0.292 3.54291e-11 7.28249e-11
-0.29 4.14553e-11 7.63771e-11
