parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.5 -1.2987e-10 1.28245e-10
-0.498 -1.07674e-10 1.0325e-10
-0.496 -9.12251e-11 8.55034e-11
-0.494 -7.86132e-11 7.23946e-11
-0.492 -6.86552e-11 6.23672e-11
-0.49 -6.05955e-11 5.44632e-11
-0.488 -5.39362e-11 4.80735e-11
-0.486 -4.83389e-11 4.27984e-11
-0.484 -4.3567e-11 3.83671e-11
-0.482 -3.94503e-11 3.45908e-11
-0.48 -3.58634e-11 3.13341e-11
-0.478 -3.27119e-11 2.84975e-11
-0.476 -2.99232e-11 2.60059e-11
-0.474 -2.74403e-11 2.3802e-11
-0.472 -2.52429e-11 2.18157e-11
-0.47 -2.322e-11 2.00859e-11
-0.468 -2.14161e-11 1.85093e-11
-0.466 -1.97817e-11 1.7087e-11
-0.464 -1.82961e-11 1.57995e-11
-0.462 -1.6942e-11 1.46305e-11
-0.46 -1.57044e-11 1.35663e-11
-0.458 -1.45707e-11 1.25952e-11
-0.456 -1.35299e-11 1.17073e-11
-0.454 -1.25724e-11 1.08938e-11
-0.452 -1.16901e-11 1.01474e-11
-0.45 -1.08754e-11 9.46156e-12
-0.448 -1.01221e-11 8.83055e-12
-0.446 -9.42434e-12 8.24937e-12
-0.444 -8.76527e-12 7.71363e-12
-0.442 -8.17565e-12 7.22006e-12
-0.44 -7.61623e-12 6.7636e-12
-0.438 -7.09498e-12 6.34214e-12
-0.436 -6.60855e-12 5.95288e-12
-0.434 -6.15399e-12 5.59328e-12
-0.432 -5.72852e-12 5.26115e-12
-0.43 -5.32965e-12 4.95448e-12
-0.428 -4.95508e-12 4.67146e-12
-0.426 -4.60268e-12 4.41052e-12
-0.424 -4.27054e-12 4.17016e-12
-0.422 -3.95684e-12 3.94912e-12
-0.42 -3.65992e-12 3.74622e-12
-0.418 -3.37819e-12 3.56044e-12
-0.416 -3.11022e-12 3.39084e-12
-0.414 -2.8546e-12 3.2366e-12
-0.412 -2.61005e-12 3.09699e-12
-0.41 -2.37534e-12 2.97139e-12
-0.408 -2.14926e-12 2.85924e-12
-0.406 -1.93072e-12 2.76006e-12
-0.404 -1.71857e-12 2.67347e-12
-0.402 -1.5118e-12 2.59915e-12
-0.4 -1.30936e-12 2.53683e-12
-0.398 -1.11023e-12 2.48635e-12
-0.396 -9.13395e-13 2.44758e-12
-0.394 -7.17857e-13 2.42047e-12
-0.392 -5.22618e-13 2.40505e-12
-0.39 -3.26652e-13 2.40138e-12
-0.388 -1.28955e-13 2.40962e-12
-0.386 7.05348e-14 2.42999e-12
-0.384 2.77024e-13 2.4697e-12
-0.382 4.85874e-13 2.51315e-12
-0.38 7.01016e-13 2.57056e-12
-0.378 9.23524e-13 2.64211e-12
-0.376 1.15464e-12 2.72823e-12
-0.374 1.39561e-12 2.82947e-12
-0.372 1.64781e-12 2.94654e-12
-0.37 1.9127e-12 3.08025e-12
-0.368 2.19178e-12 3.2315e-12
-0.366 2.48669e-12 3.40134e-12
-0.364 2.79916e-12 3.59092e-12
-0.362 3.13108e-12 3.80152e-12
-0.36 3.48436e-12 4.03453e-12
-0.358 3.86118e-12 4.29151e-12
-0.356 4.2638e-12 4.57414e-12
-0.354 4.69463e-12 4.88425e-12
-0.352 5.15633e-12 5.22389e-12
-0.35 5.6517e-12 5.59522e-12
-0.348 6.18378e-12 6.00066e-12
-0.346 6.75584e-12 6.4428e-12
-0.344 7.3714e-12 6.92448e-12
-0.342 8.03427e-12 7.44876e-12
-0.34 8.74854e-12 8.01899e-12
-0.338 9.51865e-12 8.63881e-12
-0.336 1.03494e-11 9.31214e-12
-0.334 1.12459e-11 1.00432e-11
-0.332 1.22138e-11 1.08368e-11
-0.33 1.3259e-11 1.16977e-11
-0.328 1.43882e-11 1.26315e-11
-0.326 1.56083e-11 1.36441e-11
-0.324 1.6927e-11 1.47419e-11
-0.322 1.83526e-11 1.59317e-11
-0.32 1.98939e-11 1.72211e-11
-0.318 2.15605e-11 1.86182e-11
-0.316 2.3363e-11 2.01318e-11
-0.314 2.53126e-11 2.17714e-11
-0.312 2.74215e-11 2.35473e-11
-0.31 2.97029e-11 2.54707e-11
-0.308 3.21712e-11 2.75537e-11
-0.306 3.48417e-11 2.98094e-11
-0.304 3.77313e-11 3.2252e-11
-0.302 4.08581e-11 3.48968e-11
-0.3 4.42416e-11 3.77604e-11
-0.298 4.79031e-11 4.08608e-11
-0.296 5.19262e-11 4.40564e-11
-0.294 5.61916e-11 4.74943e-11
-0.292 6.07438e-11 5.14549e-11
-0.29 6.57845e-11 5.5806e-11
-0.288 7.12316e-11 6.0477e-11
-0.286 7.7122e-11 6.55092e-11
